"","name","mass","hd","hip","teff","ra","dec","min_time","max_time","time_span","rms","nsets","ndata","telescopes","fn"
"329","Pr0211",0.95,NA,NA,5326,130.547882,19.277044,2455986.772462,2456033.654723,46.8822609996423,226.98,1,18,"FLWO","Pr0211.sys"
"330","Qatar-2",0.74,NA,NA,4645,207.655869,-6.804028,2455580.011622,2455733.70668,153.695057999808,431.72,1,44,"FLWO","Qatar-2.sys"
"331","TrES-1",0.88,NA,NA,5230,286.041017,36.632649,2453191.77,2453908.08345,716.313449999783,56.56,2,28,"SUBARU, KECK","TrES-1.sys"
"332","TrES-2",0.98,NA,NA,5850,286.808477,49.316407,2453949.76054,2454217.12911,267.368569999933,75.11,2,67,"KECK, KECK","TrES-2.sys"
"333","TrES-3",0.93,NA,NA,5650,268.029292,37.546139,2454187.04136,2454372.86102,185.819660000037,245.84,1,11,"KECK","TrES-3.sys"
"334","TrES-4",1.4,NA,NA,6200,268.304407,37.211769,2454187.07793,2454616.8309,429.752969999798,37.22,2,35,"SUBARU, KECK","TrES-4.sys"
"335","TrES-5",0.89,NA,NA,5171,305.221832,59.448788,2455456.847578,2455673.945954,217.0983760003,282.64,1,8,"FLWO","TrES-5.sys"
"336","WASP-1",1.3,NA,NA,6110,5.166984,31.989943,2453979.6311,2453982.6758,3.04469999996945,0.08,1,7,"ELODIE","WASP-1.sys"
"337","WASP-10",0.75,NA,NA,4675,348.99292,31.462852,2454340.569,2454512.262,171.69299999997,465.19,2,14,"ELODIE, NOT","WASP-10.sys"
"338","WASP-11",0.83,NA,NA,4980,47.368965,30.673594,2454462.395,2454806.81967,344.424670000095,62.03,3,21,"KECK, ELODIE, NOT","WASP-11.sys"
"339","WASP-12",1.35,NA,NA,6300,97.636642,29.672291,2454509.38633,2455283.35164,773.965309999883,115.42,2,50,"ELODIE, ELODIE","WASP-12.sys"
"340","WASP-13",1.09,NA,NA,5826,140.102982,33.882439,2454508.48441,2454512.65565,4.17124000005424,0.04,1,11,"ELODIE","WASP-13.sys"
"341","WASP-14",1.21,NA,NA,6475,218.276474,21.894714,2454461.74,2455015.91393,554.173929999582,447.56,5,82,"SUBARU, KECK, ELODIE, ELODIE, NOT","WASP-14.sys"
"342","WASP-15",1.18,NA,NA,6300,208.927933,-32.159607,2454531.8146,2454664.5932,132.778599999845,0.05,1,21,"EULER","WASP-15.sys"
"343","WASP-16",1.02,NA,NA,5700,214.683029,-20.275484,2454535.864842,2454985.694776,449.829934000038,0.09,1,30,"EULER","WASP-16.sys"
"344","WASP-17",1.2,NA,NA,6550,239.962311,-28.061733,2454329.6037,2454951.8719,622.268200000282,54.89,2,44,"6M, EULER","WASP-17.sys"
"345","WASP-19",0.94,NA,NA,5460,148.417007,-45.659191,2454616.46326,2454944.52955,328.066289999988,0.19,1,34,"EULER","WASP-19.sys"
"346","WASP-2",0.89,NA,NA,5200,307.725555,6.429536,2453981.5065,2453998.3415,16.8349999999627,0.17,1,9,"ELODIE","WASP-2.sys"
"347","WASP-21",0.89,NA,NA,5800,347.492706,18.396086,2454462.336,2455130.6417,668.30569999991,35.34,4,42,"ELODIE, ESO, NOT, ESO","WASP-21.sys"
"348","WASP-22",1.11,NA,NA,5958,52.818043,-23.819702,2454704.8563,2455190.669,485.812700000126,63.3,2,43,"6M, EULER","WASP-22.sys"
"349","WASP-24",1.18,NA,NA,6075,227.215591,2.343304,2455281.6933,2455297.9076,16.2143000001088,43.72,1,63,"ESO","WASP-24.sys"
"350","WASP-25",1,NA,NA,5703,195.359879,-27.5222,2454829.8227,2455010.5967,180.774000000209,59.29,1,29,"ESO","WASP-25.sys"
"351","WASP-26",1.11,NA,NA,5939,4.602897,-15.267305,2455001.927439,2455096.728728,94.8012890000828,0.09,1,16,"EULER","WASP-26.sys"
"352","WASP-3",1.24,NA,NA,6400,278.631805,35.661533,2454286.5225,2454986.920247,700.397747000214,133.47,2,40,"KECK, ELODIE","WASP-3.sys"
"353","WASP-32",1.1,NA,NA,6100,3.961682,1.200451,2455828.581434,2455831.811104,3.22967000026256,177.69,1,36,"ESO","WASP-32.sys"
"354","WASP-33",1.5,"HD 15082","HIP 11397",7430,36.712746,37.550484,2454070.4555,2454165.3654,94.9098999998532,1.28,1,29,"JENSCH","WASP-33.sys"
"355","WASP-36",1.04,NA,NA,5959,131.580399,-8.026946,2455266.6926,2455572.7427,306.050099999644,323.54,1,19,"ESO","WASP-36.sys"
"356","WASP-37",0.93,NA,NA,5800,221.943985,1.064966,2455304.4975,2455376.6684,72.1708999997936,182.77,2,13,"ELODIE, ESO","WASP-37.sys"
"357","WASP-38",1.2,"HD 146389",NA,6150,243.959839,10.032566,2455727.508875,2455727.764376,0.255501000210643,41.96,1,63,"ESO","WASP-38.sys"
"358","WASP-39",0.93,NA,NA,5400,217.326706,-3.444534,2455304.4704,2455380.6376,76.1672000000253,38.33,2,17,"ELODIE, ESO","WASP-39.sys"
"359","WASP-4",0.89,NA,NA,5436,353.562836,-42.061428,2454359.71082,2454409.51932,49.80849999981,0.15,1,14,"EULER","WASP-4.sys"
"360","WASP-42",0.88,NA,NA,5200,192.981552,-42.073608,2455292.854819,2455693.501039,400.646220000461,38.08,2,62,"ESO, ESO","WASP-42.sys"
"361","WASP-43",0.58,NA,NA,4400,154.908371,-9.806276,2455205.7594,2455392.4602,186.700800000224,391.5,1,15,"ESO","WASP-43.sys"
"362","WASP-44",0.95,NA,NA,5410,3.903165,-11.938115,2455378.8533,2455482.66,103.806700000074,94.36,1,17,"ESO","WASP-44.sys"
"363","WASP-45",0.91,NA,NA,5140,5.237497,-35.99826,2455388.9353,2455482.6826,93.74729999993,121.58,1,13,"ESO","WASP-45.sys"
"364","WASP-46",0.96,NA,NA,5620,318.736969,-55.87178,2455334.8428,2455454.701,119.858199999668,338.18,1,16,"ESO","WASP-46.sys"
"365","WASP-5",0.96,NA,NA,5700,359.348999,-41.277149,2454359.61457,2454387.644986,28.0304159997031,0.19,1,11,"EULER","WASP-5.sys"
"366","WASP-52",0.87,NA,NA,5000,348.494751,8.761262,2455413.7375,2455858.5814,444.843900000211,74.91,2,64,"ELODIE, ESO","WASP-52.sys"
"367","WASP-54",1.21,NA,NA,6100,205.454315,-0.128076,2455413.4899,2455677.5887,264.098800000269,62.39,2,23,"ELODIE, ESO","WASP-54.sys"
"368","WASP-55",1.01,NA,NA,5960,203.758118,-17.503464,2455591.7843,2455764.5358,172.751500000246,54.75,1,20,"ESO","WASP-55.sys"
"369","WASP-56",1.02,NA,NA,5600,183.366287,23.055698,2455647.4063,2455687.4977,40.0914000002667,64.93,1,13,"ELODIE","WASP-56.sys"
"370","WASP-57",0.95,NA,NA,5600,223.820099,-2.057665,2455627.7898,2455767.5688,139.779000000097,70.06,2,25,"ELODIE, ESO","WASP-57.sys"
"371","WASP-58",0.94,NA,NA,5800,274.70105,45.172016,2455744.4674,2455777.345,32.8776000002399,84.8,1,15,"ELODIE","WASP-58.sys"
"372","WASP-59",0.72,NA,NA,4650,349.623138,24.88929,2455745.5453,2455777.5466,32.00130000012,84.97,1,12,"ELODIE","WASP-59.sys"
"373","WASP-6",0.88,NA,NA,5450,348.157257,-22.673937,2454359.687716,2454755.730495,396.04277900001,39.58,2,79,"6M, EULER","WASP-6.sys"
"374","WASP-61",1.22,NA,NA,6320,75.29966,-26.054144,2455570.7149,2455868.8371,298.1222000001,182.14,1,15,"ESO","WASP-61.sys"
"375","WASP-62",1.25,NA,NA,6280,87.139961,-63.988434,2455651.4898,2456021.5148,370.024999999907,44.17,1,25,"ESO","WASP-62.sys"
"376","WASP-63",1.32,NA,NA,5570,94.336433,-38.323257,2455598.7288,2456021.5498,422.820999999996,33.47,1,23,"ESO","WASP-63.sys"
"377","WASP-64",1,NA,NA,5400,101.115044,-32.858402,2455622.652685,2455872.762875,250.110189999919,142.8,1,16,"ESO","WASP-64.sys"
"378","WASP-66",1.3,NA,NA,6580,158.22496,-34.989845,2455572.7155,2456000.6947,427.979199999943,189.16,1,30,"ESO","WASP-66.sys"
"379","WASP-67",0.87,NA,NA,5240,295.743835,-19.949596,2455765.7296,2455851.505,85.775399999693,40.03,1,19,"ESO","WASP-67.sys"
"380","WASP-7",1.28,"HD 197286",NA,6400,311.042603,-39.225273,2454329.71524,2454386.61194,56.8967000003904,0.07,1,11,"EULER","WASP-7.sys"
"381","WASP-72",1.39,NA,NA,6250,41.039997,-30.169039,2455570.618144,2455924.584434,353.966289999895,140.35,1,18,"ESO","WASP-72.sys"
"382","WASP-77 A",1,NA,NA,5500,37.155113,-7.060681,2455069.7803,2455918.6645,848.884199999738,244.62,2,19,"ESO, ESO","WASP-77A.sys"
"383","WASP-78",1.17,NA,NA,6100,63.756241,-22.116434,2455843.809136,2455925.588245,81.7791090002283,96.1,1,17,"ESO","WASP-78.sys"
"384","WASP-79",1.38,NA,NA,6600,66.370903,-30.600445,2455542.631324,2455964.627451,421.996126999613,73.14,1,22,"ESO","WASP-79.sys"
"385","XO-1",1.03,NA,NA,5750,240.549334,28.169564,2453770.947,2453824.815,53.8679999997839,96.21,2,10,"HJS, HET","XO-1.sys"
"386","XO-2 N",0.97,NA,NA,5332,117.026951,50.225815,2454127.6626,2454168.7572,41.0945999999531,51.7,1,16,"HET","XO-2N.sys"
"387","XO-3",1.21,NA,NA,6429,65.469582,57.817181,2454005.8587,2454864.9855,859.126799999736,666.65,4,115,"ELODIE, KECK, HJS, HET","XO-3.sys"
"388","XO-4",1.32,NA,NA,5700,110.388222,58.268108,2454455.7622,2454480.8856,25.123399999924,155.41,1,9,"HJS","XO-4.sys"
"389","XO-5",0.88,NA,NA,5370,116.71653,39.094578,2450186.94763,2454479.6874,4292.73977000033,107.74,2,26,"HET, KECK","XO-5.sys"
"390","alf Ari",1.5,"HD 12929","HIP 9884",4553,31.793364,23.462423,2452948.10923,2455247.987167,2299.87793699978,27.23,1,678,"BOAO","alfAri.sys"
"391","eps CrB",1.7,"HD 143107","HIP 78159",4406,239.396881,26.87788,2453430.324001,2455933.363483,2503.03948200028,79.5,1,52,"BOAO","epsCrB.sys"
"392","eps Eri",0.83,"HD 22049","HIP 16537",NA,53.232685,-9.458262,2444534.087,2453809.085,9274.99800000014,15.66,3,186,"LICK, HJS, CFHT","epsEri.sys"
"393","eps Tau",2.7,"HD 28305","HIP 20889",4901,67.154167,19.180431,2453000.0817,2453938.3112,938.229499999899,69.03,1,20,"88M","epsTau.sys"
"394","gam 1 Leo",1.23,"HD 89484","HIP 50583 A",4330,154.993149,19.841488,2452776.107091,2454971.053095,2194.94600400003,0.16,1,205,"8M","gam1Leo.sys"
"395","gam Cep",1.59,"HD 222404","HIP 116727",4888,354.836884,77.632278,2413875.21,2453337.6691,39462.4591000001,704.22,10,280,"HJS, HJS, HJS, CFHT, TILLINGHAST, LICK, 6M, INCH, ELODIE, SMITHSONIAN","gamCep.sys"
"396","kap CrB",1.51,"HD 142091","HIP 77655",4877,237.808044,35.657383,2453121.906,2454400.61,1278.70399999991,17.57,1,48,"LICK","kapCrB.sys"
"397","ome Ser",2.17,"HD 141680","HIP 77578",4770,237.573105,2.196509,2451949.32661,2456297.38811,4348.0615000003,26.79,1,123,"OAO","omeSer.sys"
"398","omi CrB",2.13,"HD 136512","HIP 75049",4749,230.03566,29.616209,2452350.23364,2455853.91399,3503.68034999957,28.34,1,85,"OAO","omiCrB.sys"
"399","omi UMa",3.09,"HD 71369","HIP 41704",5242,127.566124,60.71817,2453000.21377,2455625.05259,2624.83882000018,26.27,1,26,"OAO","omiUMa.sys"
"400","rho CrB",1,"HD 143761","HIP 78459",NA,240.261093,33.303509,2450563.901411,2452450.818566,1886.91715499992,38.68,1,26,"LICK","rhoCrB.sys"
"401","tau Boo",1.34,"HD 120136","HIP 67275",6400,206.815598,17.456905,2446958.7899,2452380.815012,5422.02511199983,342.57,1,98,"LICK","tauBoo.sys"
"402","ups And",1,"HD 9826","HIP 7513",NA,24.199345,41.40546,2449617.921,2454428.702007,4810.78100699978,77.84,4,448,"LICK, ELODIE, HJS, TILLINGHAST","upsAnd.sys"
"403","xi Aql",1,"HD 188310","HIP 97938",NA,298.562012,8.461452,2453102.2929,2454254.1264,1151.83350000018,54.82,1,26,"88M","xiAql.sys"
